 t        y1(t)        y2(t)
94.5     1.888105     4.721888
94.6     1.921531     4.709000
94.7     1.960116     4.716761
94.8     2.000991     4.744287
94.9     2.041253     4.789378
95.0     2.078169     4.848727
95.1     2.109340     4.918177
95.2     2.132816     4.993003
95.3     2.147170     5.068190
95.4     2.151552     5.138725
95.5     2.145701     5.199874
95.6     2.129961     5.247455
95.7     2.105267     5.278092
95.8     2.073129     5.289463
95.9     2.035584     5.280503
96.0     1.995128     5.251559
96.1     1.954583     5.204456
96.2     1.916926     5.142448
96.3     1.885040     5.070018
96.4     1.861448     4.992538
96.5     1.848044     4.915812
96.6     1.845882     4.845564
96.7     1.855071     4.786938
96.8     1.874782     4.744086
96.9     1.903364     4.719875
97.0     1.938531     4.715733
97.1     1.977601     4.731620
97.2     2.017724     4.766116
97.3     2.056103     4.816587
97.4     2.090180     4.879414
97.5     2.117772     4.950255
97.6     2.137170     5.024321
97.7     2.147205     5.096662
97.8     2.147283     5.162442
97.9     2.137397     5.217215
98.0     2.118131     5.257184
98.1     2.090647     5.279452
98.2     2.056654     5.282244
98.3     2.018354     5.265093
98.4     1.978345     5.228954
98.5     1.939482     5.176220
98.6     1.904666     5.110616
98.7     1.876600     5.036944
98.8     1.857519     4.960694
98.9     1.848947     4.887570
99.0     1.851532     4.822988
99.1     1.864990     4.771620
